D,M,N,__pyience_timestamp__,bias,corr,cossim,d,method,muls,ncodebooks,nlookups,normalized_mse,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_std
75,1,48400,2019-12-31T23_29_08,81.52424621582031,0.13815292716026306,0.8236709833145142,,Bolt,58080000,32.0,1548800.0,1.5954560041427612,63352.26171875,0.005161173990927637,Caltech 7 (Faces_easy),0,396.056396484375,199.26849365234366,160.78114318847656
75,1,48400,2019-12-31T23_29_08,69.85183715820311,-0.09328794479370116,0.8065866231918335,,Bolt,58080000,32.0,1548800.0,2.404585599899292,60772.34765625,0.004337519989348948,Caltech 8 (Faces_easy),0,384.3840026855469,158.9764862060547,160.78114318847656
75,1,48400,2019-12-31T23_29_08,103.97589111328124,0.10501978546380997,0.827284574508667,,Bolt,58080000,32.0,1548800.0,1.7909120321273804,68103.3203125,0.004509803024120629,Caltech 9 (Faces_easy),0,418.508056640625,195.0055694580078,160.78114318847656
75,1,48400,2019-12-31T23_29_08,-0.8554222583770752,0.02991865947842598,0.8692203164100647,,Bolt,58080000,32.0,1548800.0,5.4783668518066415,30742.1796875,0.00437020999379456,Caltech 10 (Leopards),0,313.6767272949219,74.91033935546875,160.78114318847656
75,1,48400,2019-12-31T23_29_08,-43.66399765014648,-0.0500282533466816,0.8533269762992859,,Bolt,58080000,32.0,1548800.0,6.349442005157473,34350.359375,0.0044276040280237785,Caltech 11 (Leopards),0,270.86813354492193,73.55257415771484,160.78114318847656
75,1,48400,2019-12-31T23_29_08,14.17387866973877,0.03730650246143341,0.8601587414741516,,Bolt,58080000,32.0,1548800.0,3.764139413833618,33925.37890625,0.004312189063057303,Caltech 12 (Leopards),0,328.7060241699219,94.9356918334961,160.78114318847656
75,1,48400,2019-12-31T23_29_08,-48.21681213378906,0.09130111336708067,0.885504424571991,,Bolt,58080000,32.0,1548800.0,15.286293983459473,28784.46484375,0.00440293992869556,Caltech 13 (Leopards),0,266.31533813476557,43.39382934570313,160.78114318847656
75,1,48400,2019-12-31T23_29_08,-20.28968048095703,-0.021065499633550644,0.8650774359703064,,Bolt,58080000,32.0,1548800.0,6.703169822692871,31412.12109375,0.004287939053028822,Caltech 14 (Leopards),0,294.24249267578125,68.45552825927734,160.78114318847656
75,1,48400,2019-12-31T23_29_08,241.92086791992188,-0.12028543651103972,0.7886269092559814,,Bolt,58080000,32.0,1548800.0,2.4839673042297363,157539.90625,0.004345646942965686,Caltech 15 (Motorbikes),0,556.4530639648439,251.8386383056641,160.78114318847656
75,1,48400,2019-12-31T23_29_08,241.2924652099609,-0.09723806381225586,0.8005255460739136,,Bolt,58080000,32.0,1548800.0,2.602946758270264,148655.453125,0.004286482930183411,Caltech 16 (Motorbikes),0,555.8245849609375,238.97792053222656,160.78114318847656
75,1,48400,2019-12-31T23_29_08,221.6393585205078,-0.06765834242105484,0.7953768968582153,,Bolt,58080000,32.0,1548800.0,2.309319257736206,141743.640625,0.004286236013285816,Caltech 17 (Motorbikes),0,536.1715087890625,247.74778747558602,160.78114318847656
75,1,48400,2019-12-31T23_29_08,210.15347290039062,-0.1989358365535736,0.7598214745521545,,Bolt,58080000,32.0,1548800.0,2.309125661849976,152494.015625,0.004494588007219136,Caltech 18 (Motorbikes),0,524.6856079101561,256.98193359375,160.78114318847656
75,1,48400,2019-12-31T23_29_08,188.95587158203125,-0.14169146120548248,0.7452211380004883,,Bolt,58080000,32.0,1548800.0,1.9346179962158203,154027.5625,0.0054344399832189074,Caltech 19 (Motorbikes),0,503.4880065917969,282.16400146484375,160.78114318847656
