------------------------ Caltech3x3 i8
---- ncodebooks=2
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  8,  1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  8,  2.0, (5x10):,  0.1730, (5.5972e+08/s),  0.1700, (5.6960e+08/s),  0.1730, (5.5972e+08/s),  0.1730, (5.5972e+08/s),  0.1730, (5.5972e+08/s)
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  8,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech5x5, i8 , amm mithral sparselut , N D M C lut_work_coef:, 48400,  75,   2,  8,  4.0, (5x10):,  0.1770, (5.4707e+08/s),  0.1750, (5.5333e+08/s),  0.1700, (5.6960e+08/s),  0.1750, (5.5333e+08/s),  0.1700, (5.6960e+08/s)
Caltech5x5, i8 , mithral lut sparse    , N D M C lut_work_coef:, 48400,  75,   2,  8,  4.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=16
Caltech5x5, i8 , amm mithral nolut     , N D M C lut_work_coef:, 48400,  75,   2, 16, -1.0, (5x10):,  0.3380, (2.8649e+08/s),  0.3420, (2.8313e+08/s),  0.3640, (2.6602e+08/s),  0.3420, (2.8313e+08/s),  0.3630, (2.6675e+08/s)
Caltech5x5, i8 , amm mithral denselut  , N D M C lut_work_coef:, 48400,  75,   2, 16, -1.0, (5x10):,  0.3560, (2.7200e+08/s),  0.3600, (2.6898e+08/s),  0.3560, (2.7200e+08/s),  0.3560, (2.7200e+08/s),  0.3600, (2.6898e+08/s)
Caltech5x5, i8 , mithral lut dense     , N D M C lut_work_coef:, 48400,  75,   2, 16, -1.0, (5x10):,  0.0020, (4.8416e+10/s),  0.0020, (4.8416e+10/s),  0.0020, (4.8416e+10/s),  0.0020, (4.8416e+10/s),  0.0020, (4.8416e+10/s)
Caltech5x5, i8 , amm mithral enc       , N D M C lut_work_coef:, 48400,  75,   2, 16, -1.0, (5x10):,  0.3110, (3.1136e+08/s),  0.3140, (3.0838e+08/s),  0.3170, (3.0546e+08/s),  0.3070, (3.1541e+08/s),  0.3030, (3.1958e+08/s)
